"Jahr";"Woche";"Todesfaelle"
"2022";"08";97
"2022";"07";160
"2022";"06";169
"2022";"05";164
"2022";"04";120
"2022";"03";122
"2022";"02";107
"2022";"01";150
"2021";"52";230
"2021";"51";312
"2021";"50";405
"2021";"49";500
"2021";"48";620
"2021";"47";618
"2021";"46";511
"2021";"45";390
"2021";"44";286
"2021";"43";158
"2021";"42";129
"2021";"41";115
"2021";"40";92
"2021";"39";83
"2021";"38";81
"2021";"37";70
"2021";"36";59
"2021";"35";37
"2021";"34";22
"2021";"33";18
"2021";"32";13
"2021";"31";9
"2021";"30";6
"2021";"29";12
"2021";"28";9
"2021";"27";12
"2021";"26";14
"2021";"25";20
"2021";"24";36
"2021";"23";39
"2021";"22";62
"2021";"21";96
"2021";"20";139
"2021";"19";159
"2021";"18";215
"2021";"17";220
"2021";"16";220
"2021";"15";242
"2021";"14";212
"2021";"13";188
"2021";"12";136
"2021";"11";166
"2021";"10";156
"2021";"09";179
"2021";"08";218
"2021";"07";257
"2021";"06";347
"2021";"05";462
"2021";"04";563
"2021";"03";773
"2021";"02";845
"2021";"01";871
"2020";"53";917
"2020";"52";960
"2020";"51";918
"2020";"50";779
"2020";"49";676
"2020";"48";499
"2020";"47";357
"2020";"46";289
"2020";"45";186
"2020";"44";84
"2020";"43";57
"2020";"42";38
"2020";"41";16
"2020";"40";16
"2020";"39";9
"2020";"38";10
"2020";"37";8
"2020";"36";1
"2020";"35";6
"2020";"34";2
"2020";"33";1
"2020";"32";2
"2020";"31";3
"2020";"30";3
"2020";"29";4
"2020";"28";10
"2020";"27";6
"2020";"26";8
"2020";"25";14
"2020";"24";15
"2020";"23";27
"2020";"22";37
"2020";"21";75
"2020";"20";86
"2020";"19";137
"2020";"18";231
"2020";"17";316
"2020";"16";480
"2020";"15";522
"2020";"14";434
"2020";"13";183
"2020";"12";40
"2020";"11";5
"2020";"09";1
