Sterbejahr;Sterbewoche;Männer, AG 0-19 Jahre;Männer, AG 20-39 Jahre;Männer, AG 40-59 Jahre;Männer, AG 60-79 Jahre;Männer, AG 80+ Jahre;Frauen, AG 0-19 Jahre;Frauen, AG 20-39 Jahre;Frauen, AG 40-59 Jahre;Frauen, AG 60-79 Jahre;Frauen, AG 80+ Jahre
2020;10;0;0;<4;<4;0;0;0;0;0;0
2020;11;0;0;0;6;6;0;0;0;<4;5
2020;12;0;0;7;30;61;0;0;<4;13;49
2020;13;0;<4;20;151;219;0;<4;6;52;150
2020;14;0;5;51;316;458;0;<4;13;131;394
2020;15;0;<4;48;360;497;<4;<4;17;174;644
2020;16;0;<4;38;357;476;0;<4;13;151;558
2020;17;<4;5;31;248;331;0;<4;10;103;446
2020;18;0;<4;26;179;219;0;<4;17;87;267
2020;19;0;4;14;117;147;0;0;4;51;179
2020;20;0;<4;21;91;89;0;0;5;42;104
2020;21;0;0;8;56;75;0;<4;6;30;98
2020;22;0;<4;7;40;33;0;0;<4;18;49
2020;23;0;<4;<4;18;34;0;0;5;12;42
2020;24;0;<4;<4;21;23;0;0;<4;12;13
2020;25;0;0;<4;17;12;0;0;<4;<4;15
2020;26;0;0;6;12;5;0;0;<4;9;21
2020;27;0;0;<4;11;5;0;0;<4;11;14
2020;28;0;0;6;8;6;0;0;0;5;4
2020;29;0;0;<4;9;5;0;0;0;<4;9
2020;30;0;0;5;9;9;0;0;<4;<4;7
2020;31;0;0;<4;13;8;0;0;0;<4;7
2020;32;0;<4;<4;7;11;0;0;<4;<4;5
2020;33;0;0;<4;8;11;0;0;0;<4;9
2020;34;0;0;<4;9;9;0;0;<4;5;15
2020;35;0;<4;5;13;4;0;0;<4;5;8
2020;36;0;0;<4;10;<4;0;<4;<4;<4;<4
2020;37;0;0;<4;6;10;0;0;<4;6;8
2020;38;0;0;4;8;18;0;<4;<4;7;15
2020;39;0;0;4;11;21;0;0;<4;9;20
2020;40;0;0;5;16;28;0;0;<4;4;28
2020;41;0;<4;<4;36;35;0;0;<4;13;33
2020;42;0;<4;5;39;89;0;0;4;20;82
2020;43;0;<4;10;72;131;0;<4;<4;42;154
2020;44;<4;<4;21;150;268;0;0;11;56;288
2020;45;0;<4;26;205;435;0;<4;8;111;477
2020;46;0;<4;39;269;581;0;<4;23;153;594
2020;47;0;<4;49;382;699;0;<4;17;190;798
2020;48;0;<4;58;481;887;0;<4;28;291;1176
2020;49;<4;<4;58;563;1092;<4;4;25;328;1374
2020;50;0;<4;79;701;1396;<4;<4;33;375;1766
2020;51;0;12;98;823;1698;0;<4;39;438;2170
2020;52;0;4;102;933;1867;0;<4;46;537;2400
2020;53;0;9;118;962;1821;<4;<4;47;508;2392
2021;1;<4;<4;95;950;1759;0;4;50;457;2232
2021;2;0;5;95;864;1556;0;<4;35;463;2023
2021;3;0;5;92;793;1493;0;5;43;442;1911
2021;4;0;<4;70;684;1256;0;<4;37;386;1651
2021;5;0;4;78;600;1032;0;5;29;334;1251
2021;6;0;<4;65;503;845;0;<4;25;267;971
2021;7;<4;<4;58;406;582;0;<4;24;220;734
2021;8;0;5;50;338;522;0;4;25;191;573
2021;9;0;5;37;303;418;<4;6;15;164;408
2021;10;<4;10;33;271;362;<4;6;19;158;368
2021;11;0;6;44;264;301;0;<4;28;129;335
2021;12;<4;4;51;290;354;0;0;32;146;309
2021;13;0;12;84;337;379;<4;9;32;181;339
2021;14;0;7;77;389;410;0;<4;33;212;376
2021;15;0;7;85;461;350;0;<4;30;229;342
2021;16;0;9;102;487;353;<4;<4;40;248;343
2021;17;<4;5;100;464;327;<4;<4;39;278;354
2021;18;0;17;112;453;282;0;<4;44;207;299
2021;19;<4;5;91;365;222;<4;6;33;187;232
2021;20;<4;6;84;293;161;<4;<4;35;166;171
2021;21;0;9;58;221;142;0;0;24;105;129
2021;22;0;<4;50;137;79;0;<4;15;77;107
2021;23;0;<4;41;82;47;0;<4;17;45;51
2021;24;0;0;24;83;33;<4;<4;8;45;36
2021;25;0;<4;13;45;20;<4;<4;<4;23;26
2021;26;0;<4;16;32;12;0;<4;7;14;11
2021;27;0;<4;6;20;10;0;<4;<4;13;5
2021;28;<4;0;8;13;15;0;0;<4;9;10
2021;29;0;<4;10;14;8;0;<4;7;9;9
2021;30;0;<4;6;9;6;0;0;4;6;7
2021;31;0;0;5;19;18;0;0;0;6;10
2021;32;0;<4;5;18;17;0;0;<4;9;24
2021;33;<4;<4;9;27;34;0;<4;6;21;24
2021;34;0;<4;8;32;37;<4;<4;6;30;44
2021;35;0;4;29;49;62;0;<4;12;38;70
2021;36;0;<4;31;66;79;<4;<4;13;46;87
2021;37;0;7;33;78;104;0;4;17;47;128
2021;38;0;12;33;84;99;<4;<4;22;58;86
2021;39;0;6;31;73;104;0;<4;10;46;105
2021;40;<4;5;22;84;118;0;<4;9;56;97
2021;41;0;5;29;85;127;0;<4;7;57;139
2021;42;<4;9;36;108;176;0;<4;14;59;184
2021;43;<4;7;42;132;253;<4;<4;18;93;287
2021;44;0;4;45;201;380;<4;<4;24;113;403
2021;45;0;7;56;259;513;0;5;27;158;510
2021;46;0;7;66;401;604;<4;<4;36;205;607
2021;47;<4;10;101;482;708;0;<4;39;268;746
2021;48;0;5;145;596;772;<4;10;53;268;802
2021;49;0;13;138;536;711;<4;8;52;286;708
2021;50;<4;10;126;560;589;<4;4;50;293;650
2021;51;0;14;111;457;480;0;<4;37;242;525
2021;52;<4;9;77;345;326;0;5;27;172;394
