Bundesland;SterbeZeit;Sterbewoche;Sterbejahr;Anzahl verstorbene COVID-19 Fälle
BW;10;10;2020;<4
BW;11;11;2020;5
BW;12;12;2020;44
BW;13;13;2020;175
BW;14;14;2020;316
BW;15;15;2020;350
BW;16;16;2020;310
BW;17;17;2020;231
BW;18;18;2020;143
BW;19;19;2020;89
BW;20;20;2020;65
BW;21;21;2020;45
BW;22;22;2020;31
BW;23;23;2020;18
BW;24;24;2020;12
BW;25;25;2020;5
BW;26;26;2020;6
BW;27;27;2020;<4
BW;28;28;2020;<4
BW;29;29;2020;<4
BW;30;30;2020;7
BW;31;31;2020;4
BW;32;32;2020;<4
BW;33;33;2020;<4
BW;34;34;2020;4
BW;35;35;2020;<4
BW;36;36;2020;<4
BW;37;37;2020;<4
BW;38;38;2020;7
BW;39;39;2020;9
BW;40;40;2020;12
BW;41;41;2020;15
BW;42;42;2020;47
BW;43;43;2020;54
BW;44;44;2020;110
BW;45;45;2020;155
BW;46;46;2020;189
BW;47;47;2020;253
BW;48;48;2020;360
BW;49;49;2020;404
BW;50;50;2020;531
BW;51;51;2020;592
BW;52;52;2020;600
BW;53;53;2020;549
BW;54;1;2021;550
BW;55;2;2021;449
BW;56;3;2021;409
BW;57;4;2021;312
BW;58;5;2021;226
BY;10;10;2020;0
BY;11;11;2020;5
BY;12;12;2020;40
BY;13;13;2020;183
BY;14;14;2020;435
BY;15;15;2020;524
BY;16;16;2020;482
BY;17;17;2020;316
BY;18;18;2020;227
BY;19;19;2020;140
BY;20;20;2020;87
BY;21;21;2020;76
BY;22;22;2020;37
BY;23;23;2020;27
BY;24;24;2020;13
BY;25;25;2020;13
BY;26;26;2020;6
BY;27;27;2020;6
BY;28;28;2020;10
BY;29;29;2020;4
BY;30;30;2020;<4
BY;31;31;2020;<4
BY;32;32;2020;<4
BY;33;33;2020;<4
BY;34;34;2020;<4
BY;35;35;2020;6
BY;36;36;2020;<4
BY;37;37;2020;8
BY;38;38;2020;10
BY;39;39;2020;9
BY;40;40;2020;16
BY;41;41;2020;15
BY;42;42;2020;35
BY;43;43;2020;56
BY;44;44;2020;82
BY;45;45;2020;179
BY;46;46;2020;281
BY;47;47;2020;348
BY;48;48;2020;483
BY;49;49;2020;646
BY;50;50;2020;754
BY;51;51;2020;886
BY;52;52;2020;922
BY;53;53;2020;871
BY;54;1;2021;832
BY;55;2;2021;791
BY;56;3;2021;722
BY;57;4;2021;517
BY;58;5;2021;411
BE;10;10;2020;0
BE;11;11;2020;0
BE;12;12;2020;<4
BE;13;13;2020;18
BE;14;14;2020;22
BE;15;15;2020;55
BE;16;16;2020;29
BE;17;17;2020;26
BE;18;18;2020;16
BE;19;19;2020;19
BE;20;20;2020;9
BE;21;21;2020;5
BE;22;22;2020;8
BE;23;23;2020;<4
BE;24;24;2020;<4
BE;25;25;2020;<4
BE;26;26;2020;<4
BE;27;27;2020;<4
BE;28;28;2020;<4
BE;29;29;2020;<4
BE;30;30;2020;<4
BE;31;31;2020;<4
BE;32;32;2020;<4
BE;33;33;2020;0
BE;34;34;2020;<4
BE;35;35;2020;<4
BE;36;36;2020;0
BE;37;37;2020;<4
BE;38;38;2020;<4
BE;39;39;2020;0
BE;40;40;2020;<4
BE;41;41;2020;8
BE;42;42;2020;7
BE;43;43;2020;13
BE;44;44;2020;25
BE;45;45;2020;82
BE;46;46;2020;92
BE;47;47;2020;95
BE;48;48;2020;125
BE;49;49;2020;166
BE;50;50;2020;197
BE;51;51;2020;191
BE;52;52;2020;215
BE;53;53;2020;234
BE;54;1;2021;237
BE;55;2;2021;203
BE;56;3;2021;190
BE;57;4;2021;145
BE;58;5;2021;93
BB;10;10;2020;0
BB;11;11;2020;0
BB;12;12;2020;<4
BB;13;13;2020;6
BB;14;14;2020;25
BB;15;15;2020;31
BB;16;16;2020;42
BB;17;17;2020;30
BB;18;18;2020;12
BB;19;19;2020;7
BB;20;20;2020;4
BB;21;21;2020;5
BB;22;22;2020;0
BB;23;23;2020;<4
BB;24;24;2020;<4
BB;25;25;2020;<4
BB;26;26;2020;0
BB;27;27;2020;<4
BB;28;28;2020;0
BB;29;29;2020;0
BB;30;30;2020;0
BB;31;31;2020;0
BB;32;32;2020;<4
BB;33;33;2020;0
BB;34;34;2020;<4
BB;35;35;2020;0
BB;36;36;2020;0
BB;37;37;2020;0
BB;38;38;2020;0
BB;39;39;2020;0
BB;40;40;2020;0
BB;41;41;2020;<4
BB;42;42;2020;6
BB;43;43;2020;12
BB;44;44;2020;22
BB;45;45;2020;27
BB;46;46;2020;36
BB;47;47;2020;79
BB;48;48;2020;91
BB;49;49;2020;115
BB;50;50;2020;156
BB;51;51;2020;245
BB;52;52;2020;264
BB;53;53;2020;304
BB;54;1;2021;304
BB;55;2;2021;288
BB;56;3;2021;258
BB;57;4;2021;215
BB;58;5;2021;126
HB;10;10;2020;0
HB;11;11;2020;0
HB;12;12;2020;0
HB;13;13;2020;4
HB;14;14;2020;4
HB;15;15;2020;12
HB;16;16;2020;5
HB;17;17;2020;<4
HB;18;18;2020;5
HB;19;19;2020;<4
HB;20;20;2020;5
HB;21;21;2020;5
HB;22;22;2020;<4
HB;23;23;2020;<4
HB;24;24;2020;5
HB;25;25;2020;0
HB;26;26;2020;<4
HB;27;27;2020;<4
HB;28;28;2020;0
HB;29;29;2020;0
HB;30;30;2020;0
HB;31;31;2020;<4
HB;32;32;2020;0
HB;33;33;2020;0
HB;34;34;2020;<4
HB;35;35;2020;<4
