Sterbejahr;Sterbewoche;AG 0-9 Jahre;AG 10-19 Jahre;AG 20-29 Jahre;AG 30-39 Jahre;AG 40-49 Jahre;AG 50-59 Jahre;AG 60-69 Jahre;AG 70-79 Jahre;AG 80-89 Jahre;AG 90+ Jahre
2020;10;0;0;0;0;0;<4;<4;0;0;0
2020;11;0;0;0;0;0;0;<4;6;11;0
2020;12;0;0;0;0;<4;8;7;36;86;25
2020;13;0;0;<4;<4;7;19;60;144;292;75
2020;14;0;0;<4;5;9;54;127;321;593;260
2020;15;<4;0;<4;0;14;51;140;391;808;332
2020;16;0;0;0;<4;13;37;146;362;705;331
2020;17;0;<4;<4;5;4;37;112;237;532;239
2020;18;0;0;<4;<4;4;40;88;174;334;146
2020;19;0;0;<4;<4;5;13;48;121;221;105
2020;20;0;0;0;<4;4;22;54;81;134;60
2020;21;0;0;<4;0;6;10;25;62;118;52
2020;22;0;0;0;<4;<4;8;20;39;62;19
2020;23;0;0;0;<4;<4;7;13;17;55;21
2020;24;0;0;0;<4;<4;<4;12;22;25;10
2020;25;0;0;0;0;<4;4;6;13;16;10
2020;26;0;0;0;0;<4;6;12;9;17;7
2020;27;0;0;0;0;<4;<4;9;14;13;6
2020;28;0;0;0;0;<4;5;4;8;5;6
2020;29;0;0;0;0;0;<4;4;6;12;<4
2020;30;0;0;0;0;<4;<4;4;6;9;6
2020;31;0;0;0;0;<4;0;6;8;9;6
2020;32;0;0;<4;0;0;<4;<4;8;12;4
2020;33;0;0;0;0;0;<4;4;6;14;6
2020;34;0;0;0;0;<4;<4;5;8;15;9
2020;35;0;0;0;<4;0;7;7;10;10;<4
2020;36;0;0;0;<4;0;<4;<4;8;<4;<4
2020;37;0;0;0;0;0;<4;<4;9;15;<4
2020;38;0;0;0;<4;0;5;5;10;20;12
2020;39;0;0;0;0;<4;<4;4;15;25;16
2020;40;0;0;0;0;0;6;<4;17;39;16
2020;41;0;0;<4;0;<4;4;16;34;46;20
2020;42;0;0;<4;<4;<4;7;15;43;124;46
2020;43;0;0;<4;<4;5;5;38;75;173;108
2020;44;0;<4;0;<4;6;26;56;147;356;196
2020;45;0;0;<4;<4;5;29;89;221;598;292
2020;46;0;0;0;6;16;46;98;315;779;376
2020;47;0;0;4;<4;17;48;158;402;962;499
2020;48;0;0;4;<4;17;68;200;557;1296;732
2020;49;<4;0;<4;6;17;62;239;635;1588;831
2020;50;<4;0;<4;<4;17;95;284;762;2055;1063
2020;51;0;0;<4;13;28;107;357;885;2518;1280
2020;52;0;0;<4;<4;18;125;389;1045;2781;1387
2020;53;<4;0;<4;7;21;139;382;1055;2677;1422
2021;1;<4;0;0;6;15;129;384;987;2572;1308
2021;2;0;0;4;4;18;111;354;947;2263;1216
2021;3;0;0;0;7;24;106;361;841;2201;1097
2021;4;0;0;<4;<4;19;86;303;733;1836;973
2021;5;0;0;<4;5;17;86;283;604;1450;724
2021;6;0;0;<4;<4;7;81;215;519;1207;507
2021;7;0;<4;0;<4;14;68;161;427;813;428
2021;8;0;0;<4;7;13;54;143;341;716;271
2021;9;0;0;0;10;8;38;149;281;549;185
