Sterbejahr;Sterbewoche;AG 0-9 Jahre;AG 10-19 Jahre;AG 20-29 Jahre;AG 30-39 Jahre;AG 40-49 Jahre;AG 50-59 Jahre;AG 60-69 Jahre;AG 70-79 Jahre;AG 80-89 Jahre;AG 90+ Jahre
2020;10;0;0;0;0;0;<4;<4;0;0;0
2020;11;0;0;0;0;0;0;<4;6;11;0
2020;12;0;0;0;0;<4;8;7;36;85;25
2020;13;0;0;<4;<4;7;19;60;144;293;75
2020;14;0;0;<4;5;9;55;127;319;593;260
2020;15;<4;0;<4;<4;14;51;140;393;809;332
2020;16;0;0;0;<4;13;38;145;364;706;330
2020;17;0;<4;<4;5;4;37;113;239;533;243
2020;18;0;0;<4;<4;4;40;89;175;340;146
2020;19;0;0;<4;<4;5;13;49;120;221;105
2020;20;0;0;0;<4;4;22;54;81;133;60
2020;21;0;0;<4;0;5;10;25;62;120;53
2020;22;0;0;0;<4;<4;8;20;39;61;20
2020;23;0;0;0;<4;<4;7;13;17;55;21
2020;24;0;0;0;<4;<4;<4;12;22;26;9
2020;25;0;0;0;0;<4;4;6;14;17;10
2020;26;0;0;0;0;<4;7;12;10;17;7
2020;27;0;0;0;0;<4;<4;9;13;13;6
2020;28;0;0;0;0;<4;5;4;8;4;6
2020;29;0;0;0;0;0;<4;4;6;11;<4
2020;30;0;0;0;0;<4;<4;4;6;9;6
2020;31;0;0;0;0;<4;0;6;8;9;6
2020;32;0;0;<4;0;0;<4;<4;8;12;4
2020;33;0;0;0;0;0;<4;4;6;14;6
2020;34;0;0;0;0;<4;<4;5;8;15;9
2020;35;0;0;0;<4;0;7;6;10;10;<4
2020;36;0;0;0;<4;0;<4;<4;8;<4;<4
2020;37;0;0;0;0;0;<4;<4;9;15;<4
2020;38;0;0;0;<4;0;5;5;10;20;12
2020;39;0;0;0;0;<4;<4;4;16;25;16
2020;40;0;0;0;0;0;6;<4;17;39;16
2020;41;0;0;<4;0;<4;4;15;34;46;21
2020;42;0;0;<4;<4;<4;7;15;43;124;46
2020;43;0;0;<4;<4;7;5;38;75;174;108
2020;44;0;<4;0;<4;6;26;56;147;358;196
2020;45;0;0;<4;<4;5;29;89;223;600;295
2020;46;0;0;0;6;16;46;99;316;785;380
2020;47;0;0;4;<4;17;48;159;404;971;503
2020;48;0;0;4;<4;16;68;199;566;1305;739
2020;49;<4;0;<4;6;17;64;243;640;1606;852
2020;50;<4;0;<4;<4;17;95;285;770;2067;1067
2020;51;0;0;<4;13;28;108;357;889;2529;1295
2020;52;0;0;<4;<4;19;127;392;1052;2791;1399
2020;53;<4;0;4;7;21;141;386;1060;2701;1433
2021;1;<4;0;0;6;15;129;387;992;2589;1321
2021;2;0;0;4;4;17;111;355;959;2284;1223
2021;3;0;0;0;7;24;108;362;853;2223;1109
2021;4;0;0;<4;<4;19;86;306;738;1860;991
2021;5;0;0;<4;5;17;91;291;618;1481;736
2021;6;0;0;<4;<4;8;83;218;532;1243;530
2021;7;0;<4;0;<4;14;69;164;441;833;438
2021;8;0;0;<4;7;14;57;156;356;761;288
2021;9;<4;0;0;10;9;42;156;304;599;193
2021;10;<4;<4;<4;14;9;42;133;266;506;199
2021;11;0;0;<4;6;15;56;125;249;454;156
2021;12;0;0;<4;<4;18;64;148;262;452;173
2021;13;<4;<4;<4;19;26;82;162;309;511;142
2021;14;0;0;<4;7;24;72;194;361;530;184
2021;15;0;0;<4;5;20;86;233;380;464;129
