Sterbejahr;Sterbewoche;AG 0-9 Jahre;AG 10-19 Jahre;AG 20-29 Jahre;AG 30-39 Jahre;AG 40-49 Jahre;AG 50-59 Jahre;AG 60-69 Jahre;AG 70-79 Jahre;AG 80-89 Jahre;AG 90+ Jahre
2020;10;0;0;0;0;0;<4;<4;0;0;0
2020;11;0;0;0;0;0;0;<4;6;11;0
2020;12;0;0;0;0;<4;8;7;36;85;25
2020;13;0;0;<4;<4;7;19;60;143;293;75
2020;14;0;0;<4;5;9;55;127;319;592;260
2020;15;<4;0;<4;<4;14;51;141;392;810;332
2020;16;0;0;0;<4;13;38;145;363;706;329
2020;17;0;<4;<4;5;4;37;112;238;534;242
2020;18;0;0;<4;<4;4;40;89;175;341;146
2020;19;0;0;<4;<4;5;13;49;120;221;104
2020;20;0;0;0;<4;4;22;54;81;133;60
2020;21;0;0;<4;0;5;9;25;62;120;53
2020;22;0;0;0;<4;<4;8;20;38;61;20
2020;23;0;0;0;<4;<4;7;13;17;55;21
2020;24;0;0;0;<4;<4;<4;11;22;26;9
2020;25;0;0;0;0;<4;4;6;14;17;10
2020;26;0;0;0;0;<4;7;12;9;17;8
2020;27;0;0;0;0;<4;<4;9;13;13;6
2020;28;0;0;0;0;<4;5;4;8;4;6
2020;29;0;0;0;0;0;<4;4;6;11;<4
2020;30;0;0;0;0;<4;<4;4;6;9;6
2020;31;0;0;0;0;<4;0;6;8;9;6
2020;32;0;0;<4;0;0;<4;<4;8;12;4
2020;33;0;0;0;0;0;<4;4;6;14;6
2020;34;0;0;0;0;<4;<4;5;8;15;9
2020;35;0;0;0;<4;0;7;6;10;10;<4
2020;36;0;0;0;<4;0;<4;<4;8;<4;<4
2020;37;0;0;0;0;0;<4;<4;9;15;<4
2020;38;0;0;0;<4;0;5;5;10;20;12
2020;39;0;0;0;0;<4;<4;4;16;25;16
2020;40;0;0;0;0;0;6;<4;17;39;16
2020;41;0;0;<4;0;<4;4;15;34;46;21
2020;42;0;0;<4;<4;<4;7;15;43;124;46
2020;43;0;0;<4;<4;7;5;38;76;175;108
2020;44;0;<4;0;<4;6;26;57;148;359;197
2020;45;0;0;<4;<4;5;29;89;224;605;299
2020;46;0;0;0;6;16;46;99;320;786;384
2020;47;0;0;4;<4;17;48;159;406;976;508
2020;48;0;0;4;<4;16;70;199;569;1314;740
2020;49;<4;0;<4;6;17;65;242;643;1603;853
2020;50;<4;0;<4;<4;17;96;288;772;2067;1068
2020;51;0;0;<4;13;28;108;359;895;2531;1301
2020;52;0;0;<4;<4;18;130;394;1060;2812;1411
2020;53;<4;0;4;7;22;142;391;1071;2732;1448
2021;1;<4;0;0;6;15;130;392;998;2611;1337
2021;2;0;0;4;4;17;112;357;965;2312;1241
2021;3;0;0;0;8;24;110;365;863;2247;1125
2021;4;0;0;<4;<4;19;87;313;749;1876;1000
2021;5;0;0;<4;5;17;91;294;629;1511;745
2021;6;0;0;<4;<4;8;82;219;544;1256;539
2021;7;0;<4;0;<4;14;68;170;445;852;446
2021;8;0;0;<4;7;14;59;158;368;778;293
2021;9;<4;0;0;10;9;42;156;306;613;195
2021;10;<4;<4;<4;14;9;43;137;280;520;204
2021;11;0;0;<4;6;15;57;129;256;462;166
2021;12;0;0;<4;<4;18;65;154;268;467;178
2021;13;0;<4;<4;19;27;83;172;326;547;154
2021;14;0;0;<4;7;25;78;202;381;568;201
2021;15;0;0;<4;6;20;88;257;416;505;151
2021;16;0;<4;4;8;18;111;247;453;498;166
2021;17;<4;<4;0;5;30;97;229;462;494;139
2021;18;0;0;<4;17;33;111;229;384;409;133
2021;19;0;<4;<4;8;22;88;195;307;315;109
2021;20;0;0;<4;5;27;76;141;257;218;69
